,name,region,address,phone
0,세종가람DT점,세종 세종시,세종특별자치시 금송로 589 (가람동) .,044-865-8882
1,덕수궁점,서울 중구,서울특별시 중구  세종대로 91 (태평로2가) 1~2층 할리스,02-6365-0143
2,보라매역점,서울 영등포구,"서울특별시 영등포구 여의대방로 145 (신길동, 세인트빌딩) .",02-845-1097
3,청주산남DT점,충북 청주시 서원구,"충청북도 청주시 서원구 1순환로 892,1,2층(산남동)",043-287-5731
4,청주강서점,충북 청주시 흥덕구,"충청북도 청주시 흥덕구 서현동로 8 (가경동, 하나빌딩) .",043-263-8585
5,(춘)원주휴게소점 ,강원 원주시,강원도 원주시 호저면 마근거리길 110 (원주(춘천방향)휴게소) 옥산리 215,033-731-4291
6,평택이충DT점,경기 평택시,경기도 평택시 추담로 30 A동 1~2층 (이충동),031-667-7034
7,평택지산점,경기 평택시,"경기도 평택시 지산로 10, 1층 지산동 808-4, 101,102호",031-8029-9005
8,미아역점,서울 강북구,"서울특별시 강북구 도봉로 203, 1-2층 미아동 209-2",070-7799-7374
9,성주성밖숲점,경북 성주군,경상북도 성주군 성주읍 성밖숲길 7 .,054-933-2222
10,속초영랑해변점,강원 속초시,강원도 속초시 영랑해안길 205 (영랑동 148-172) 할리스,033-637-0164
11,미사가로수길점,경기 하남시,"경기도 하남시 미사강변한강로 295, 1층 112호 ~ 115호",031-699-8674
12,개화산점,서울 강서구,"서울특별시 강서구 양천로 28 (방화동, 벽산에어트리움) 1층",02-2064-1455
13,울산달동DT점,울산 남구,울산광역시 남구 번영로 82 (달동 1297-1) 할리스,052-275-3022
14,송도학원가점,인천 연수구,인천광역시 연수구 신송로 168 송도동 20-13,032-204-7700
15,인천당하점,인천 서구,"인천광역시 서구 서곶로 788 (당하동, 홀리랜드) 1층",032-561-1578
16,시흥은계점,경기 시흥시,"경기도 시흥시 은계번영길 13 (은행동, 아리테타워) 107,108,203~205호",031-520-8147
17,신림역점,서울 관악구,서울특별시 관악구 신림로 313 (신림동) 2층,02-877-5596
18,대구수성네거리점,대구 수성구,대구광역시 수성구 들안로 326 수성동3가 254-2,053-743-8700
19,인천서구청점,인천 서구,"인천광역시 서구 서곶로301번길 7-1 (심곡동, 세광빌딩) .",032-569-1235
