idx,title,desc,org_link,pDate
1,"경북도, 외국인 근로자 코로나19 진단검사 행정명령","<b>김진현</b> 경북도 복지건강국장은&quot;최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단발생 사례로 지역사회 확산이 우려되고 있다&quot;며 &quot;선제적 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의 적극적 검사와... ",,2021-03-08 11:58:00
2,"경북도, 12일까지 외국인 근로자 '코로나19 선제검사'","<b>김진현</b> 경북도 복지건강국장은 &quot;최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단 감염이 발생해 지역사회 확산이 우려되고 있다&quot;며 &quot;선제적 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의 적극적... ",,2021-03-08 09:41:00
3,"경북도내, 코로나19 확진자 3명(국내 2) 발생",<b>김진현</b> 도 복지건강국장은 &quot;최근 경기와 충청지역에서 외국인 근로자 고용 사업장의 집단발생 사례로 지역사회 확산이 우려된다&quot;면서 &quot;집단 감염을 예방할 수 있도록 사업주들의 적극적인 협조를 당부드린다&quot;고... ,,2021-03-08 08:05:00
4,"경북도, 외국인 근로자 코로나19 진단검사 행정명령 外","<b>김진현</b> 경북도 복지건강국장은&quot;최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단발생 사례로... <b>김진현</b> 경상북도 복지건강국장은&quot;코로나19 상황에서도 건강증진은 계속되어야 하고 경북도가 도민들의 건강을... ",,2021-03-08 08:02:00
5,"경북도, 외국인 근로자 코로나19 진단검사 행정명령","<b>김진현</b> 경북도 복지건강국장은 &quot;최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단 발생 사례로 지역사회 확산이 우려되고 있다&quot;며 &quot;선제적 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의 적극적... ",,2021-03-08 00:10:00
6,"경북도, 외국인 근로자 코로나19 진단검사 행정명령","외국인 근로자 4인 이하 사업장에 근무하는 외국인 근로자라도 가까운 보건소에 가면 코로나19 진단검사를 무료로 받을 수 있으며, 불법체류 여부는 확인하지 않는다.<b>김진현</b> 경북도 복지건강국장은 &quot;최근 경기... ",,2021-03-07 22:04:00
7,"경북도, 비대면 건강프로그램 활용 15일부터 생활 속 건강실천 이벤트",건강생활 실천을 지속하도록 다방면으로 도민들에게 안내를 하고 있다. <b>김진현</b> 경북도 복지건강국장은 “코로나19 상황에서도 건강증진은 계속돼야 하고 경북도가 도민들의 건강을 위해 항상 지원하겠다”고 말했다.,,2021-03-07 22:03:00
8,경북지역 외국인근로자 코로나 검사 행정명령,"<b>김진현</b> 경북도 복지건강국장은&quot;최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단발생 사례로 지역사회 확산이 우려되고 있다&quot;며 &quot;선제적 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의 적극적 검사와... ",,2021-03-07 21:36:00
9,"경북도, 외국인 근로자 코로나19 진단검사 행정명령","<b>김진현</b> 경북도 복지건강국장은 &quot;최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단발생 사례로 지역사회 확산이 우려되고 있다&quot;면서, &quot;선제적 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의 적극적... ",,2021-03-07 20:10:00
10,"경북도, 외국인 근로자 코로나19 검사 행정명령","<b>김진현</b> 경북도 복지건강국장은 &quot;최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단발생 사례로 지역사회 확산이 우려되고 있다&quot;며 &quot;선제적 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의 적극적 검사와... ",,2021-03-07 19:35:00
