행정구역(시군구)별(1),행정구역(시군구)별(2),총인구수 (명),남자인구수 (명),여자인구수 (명)
전국,소계,"51,824,142","25,836,561","25,987,581"
서울특별시,소계,"9,648,606","4,690,282","4,958,324"
서울특별시,　　　종로구,"148,884","72,372","76,512"
서울특별시,　　　중구,"124,836","61,018","63,818"
서울특별시,　　　용산구,"230,113","110,646","119,467"
서울특별시,　　　성동구,"292,537","142,904","149,633"
서울특별시,　　　광진구,"345,248","166,535","178,713"
서울특별시,　　　동대문구,"341,756","169,139","172,617"
서울특별시,　　　중랑구,"393,933","194,665","199,268"
서울특별시,　　　성북구,"437,961","211,283","226,678"
서울특별시,　　　강북구,"306,639","149,427","157,212"
서울특별시,　　　도봉구,"323,431","157,603","165,828"
서울특별시,　　　노원구,"520,366","250,929","269,437"
서울특별시,　　　은평구,"478,336","229,318","249,018"
서울특별시,　　　서대문구,"311,132","148,908","162,224"
서울특별시,　　　마포구,"371,200","174,741","196,459"
서울특별시,　　　양천구,"454,270","222,789","231,481"
서울특별시,　　　강서구,"579,082","279,269","299,813"
서울특별시,　　　구로구,"402,642","198,687","203,955"
서울특별시,　　　금천구,"231,290","116,950","114,340"
서울특별시,　　　영등포구,"380,443","188,029","192,414"
서울특별시,　　　동작구,"389,754","188,428","201,326"
서울특별시,　　　관악구,"493,374","247,472","245,902"
서울특별시,　　　서초구,"423,829","202,692","221,137"
서울특별시,　　　강남구,"537,879","257,231","280,648"
서울특별시,　　　송파구,"665,463","320,991","344,472"
서울특별시,　　　강동구,"464,208","228,256","235,952"
부산광역시,소계,"3,387,761","1,658,540","1,729,221"
부산광역시,　　　중구,"41,551","20,262","21,289"
부산광역시,　　　서구,"107,824","52,194","55,630"
부산광역시,　　　동구,"88,639","43,370","45,269"
부산광역시,　　　영도구,"112,809","55,571","57,238"
부산광역시,　　　부산진구,"360,025","173,763","186,262"
부산광역시,　　　동래구,"270,678","131,712","138,966"
부산광역시,　　　남구,"266,989","130,623","136,366"
부산광역시,　　　북구,"282,799","139,828","142,971"
부산광역시,　　　해운대구,"401,280","193,072","208,208"
부산광역시,　　　사하구,"310,740","154,760","155,980"
부산광역시,　　　금정구,"231,743","113,219","118,524"
부산광역시,　　　강서구,"139,088","71,882","67,206"
부산광역시,　　　연제구,"208,743","100,450","108,293"
부산광역시,　　　수영구,"176,703","83,512","93,191"
부산광역시,　　　사상구,"212,038","107,128","104,910"
부산광역시,　　　기장군,"176,112","87,194","88,918"
대구광역시,소계,"2,413,191","1,190,244","1,222,947"
대구광역시,　　　중구,"76,159","36,586","39,573"
대구광역시,　　　동구,"341,661","168,276","173,385"
대구광역시,　　　서구,"170,005","85,148","84,857"
대구광역시,　　　남구,"146,255","70,279","75,976"
대구광역시,　　　북구,"439,218","218,625","220,593"
대구광역시,　　　수성구,"423,937","205,155","218,782"
대구광역시,　　　달서구,"555,948","274,175","281,773"
대구광역시,　　　달성군,"260,008","132,000","128,008"
인천광역시,소계,"2,941,705","1,473,245","1,468,460"
인천광역시,　　　중구,"139,776","72,561","67,215"
인천광역시,　　　중구영종출장소,0,0,0
인천광역시,　　　중구용유출장소,0,0,0
인천광역시,　　　동구,"62,381","31,515","30,866"
인천광역시,　　　미추홀구,"405,125","204,002","201,123"
인천광역시,　　　연수구,"389,527","193,548","195,979"
인천광역시,　　　남동구,"524,004","260,227","263,777"
인천광역시,　　　부평구,"493,610","243,934","249,676"
인천광역시,　　　계양구,"296,534","147,871","148,663"
인천광역시,　　　서구,"541,164","273,369","267,795"
인천광역시,　　　서구검단출장소,0,0,0
인천광역시,　　　강화군,"69,236","34,655","34,581"
인천광역시,　　　옹진군,"20,348","11,563","8,785"
광주광역시,소계,"1,447,953","716,331","731,622"
광주광역시,　　　동구,"102,745","50,674","52,071"
광주광역시,　　　서구,"295,368","144,682","150,686"
광주광역시,　　　남구,"214,579","103,263","111,316"
광주광역시,　　　북구,"430,209","213,621","216,588"
광주광역시,　　　광산구,"405,052","204,091","200,961"
대전광역시,대전광역시,"1,462,064","729,663","732,401"
대전광역시,　　　동구,"224,103","113,026","111,077"
대전광역시,　　　중구,"234,654","115,744","118,910"
대전광역시,　　　서구,"476,945","234,558","242,387"
대전광역시,　　　유성구,"350,374","176,852","173,522"
대전광역시,　　　대덕구,"175,988","89,483","86,505"
울산광역시,소계,"1,132,953","582,190","550,763"
울산광역시,　　　중구,"216,523","109,644","106,879"
울산광역시,　　　남구,"319,189","162,809","156,380"
울산광역시,　　　동구,"156,209","81,652","74,557"
울산광역시,　　　북구,"218,774","113,324","105,450"
울산광역시,　　　울주군,"222,258","114,761","107,497"
세종특별자치시,소계,"359,569","179,528","180,041"
세종특별자치시,　　　세종시,"359,569","179,528","180,041"
경기도,소계,"13,471,758","6,777,066","6,694,692"
경기도,　　　수원시,"1,186,273","597,254","589,019"
경기도,　　　장안구,"272,823","137,348","135,475"
경기도,　　　권선구,"368,157","185,850","182,307"
경기도,　　　팔달구,"177,307","89,461","87,846"
경기도,　　　영통구,"367,986","184,595","183,391"
경기도,　　　성남시,"938,819","464,828","473,991"
경기도,　　　수정구,"241,217","122,005","119,212"
경기도,　　　중원구,"216,128","109,410","106,718"
경기도,　　　분당구,"481,474","233,413","248,061"
경기도,　　　의정부시,"462,619","227,725","234,894"
