,name,region,address,phone
0,양지점,경기도,경기 남양주시 오남읍 진건오남로797번길 28,031-573-9282
1,장성점,전라남도,전라남도 장성군 장성읍 영천로 133-2,061-393-9289
2,신사점,서울특별시,서울특별시 은평구 신사동 40-6,02-304-7770
3,중곡역점,서울특별시,"서울특별시 광진구 긴고랑로 5, 1층(중곡동)",02-3409-8292
4,응암점,서울특별시,"서울특별시 은평구 백련산로 36, 상가동 106호(응암동, 백련산 힐스테이트 3차)",02-303-8295
5,돈암점,서울특별시,"서울특별시 성북구 아리랑로6길 4, 1층(동선동5가)",02-6489-0101
6,거여점,서울특별시,"서울특별시 송파구 거마로7길 3, 1층 101호(거여동)",02-3402-1511
7,밀양내이점,경상남도,경상남도 밀양시 북성로4길 16,055-356-9989
8,남지점,경상남도,경남 창녕군 남지읍 남지중앙로 90,055-536-7333
9,신호동점,부산광역시,부산광역시 강서구 신호산단3로 66 1층 101호,051-831-0318
10,율하2지구점,경상남도,"경상남도 김해시 율하로 479-1, 331동 1층 104호(장유동, 원메이저푸르지오)",055-327-1811
11,남부동점,경상남도,경남 양산시 남부동 605-1번지 106호,055-383-9133
12,세곡점,서울특별시,"서울특별시 강남구 헌릉로571길 7, 1층 103호(세곡동, 강남레체)",02-451-8989
13,오금점,서울특별시,"서울특별시 송파구 마천로 165, 1층(오금동)",02-407-1257
14,구산점,경상남도,경상남도 김해시 구산동 1083-7번지 101호,055-336-4366
15,예산점,충청남도,충남 예산군 예산읍 벚꽃로 155번길 43,041-335-7277
16,신창점,광주광역시,"광주 광산구 신창로36번길 19, 1층(신창동)",062-961-9282
17,장덕점,광주광역시,"광주 광산구 장덕로39번길 14, 1층(장덕동)",062-961-9281
18,학동방림점,광주광역시,"광주 동구 천변우로 603, 102-101(학동)",062-233-9280
19,운남점,광주광역시,"광주 광산구 목련로 273번안길 43, 2층(운남동)",062-716-9282
